"tempo" "S" "I"
"1" 0 28.8 3.2
"2" 0.02 28.8016 3.1984
"3" 0.03 28.8031984004 3.1968015996
"4" 0.04 28.804795203598 3.195204796402
"5" 0.05 28.8063904119872 3.19360958801279
"6" 0.06 28.8079840279561 3.19201597204394
"7" 0.07 28.8095760538882 3.19042394611178
"8" 0.08 28.8111664921626 3.18883350783742
"9" 0.09 28.8127553451533 3.18724465484669
"10" 0.1 28.8143426152299 3.18565738477015
"11" 0.11 28.8159283047569 3.18407169524309
"12" 0.12 28.8175124160945 3.18248758390552
"13" 0.13 28.8190949515979 3.18090504840213
"14" 0.14 28.8206759136177 3.17932408638229
"15" 0.15 28.8222553044999 3.17774469550007
"16" 0.16 28.8238331265858 3.17616687341417
"17" 0.17 28.8254093822121 3.17459061778795
"18" 0.18 28.8269840737106 3.17301592628943
"19" 0.19 28.8285572034088 3.17144279659123
"20" 0.2 28.8301287736294 3.16987122637059
"21" 0.21 28.8316987866906 3.16830121330938
"22" 0.22 28.833267244906 3.16673275509403
"23" 0.23 28.8348341505844 3.16516584941556
"24" 0.24 28.8363995060304 3.16360049396958
"25" 0.25 28.8379633135438 3.16203668645622
"26" 0.26 28.8395255754198 3.16047442458021
"27" 0.27 28.8410862939492 3.15891370605077
"28" 0.28 28.8426454714183 3.15735452858166
"29" 0.29 28.8442031101088 3.15579688989117
"30" 0.3 28.8457592122979 3.15424078770207
"31" 0.31 28.8473137802584 3.15268621974163
"32" 0.32 28.8488668162584 3.15113318374161
