8.07 8.1 7.81 8.06 7.93
7.86 7.91 7.69 7.53 7.84
7.73 7.8 7.72 7.76 7.54
7.68 7.43 7.43 7.42 7.48
7.6 7.55 7.78 7.62 7.55
7.5 8.15 8.25 8.03 7.91
8.03 7.94 8.58 8.76 8.04
7.57 7.55 7.55 7.35 8.11
8.5 8.7 8.98 9.05 9.06
9.3 9.31 9.04 9.33 9
8.68 8.52 8.32 8.41 8.58
8.56 8.84 8.67 8.88 9.15
8.91 9.05 8.97 8.95 9.22
8.81 8.51 8.5 8.7 8.8
8.47 8.44 8.39 8.56 8.75
8.44 8.68 8.71 8.38 8.1
8.37 8.44 8.54 8.64 8.36
8.23 8.24 8.42 8.48 8.81
8.8 8.92 8.31 8.51 8.63
9.08 8.86 8.77 9.57 10.15
10.58 10.31 10.05 10.17 10.36
10.35 10.57 10.45 10.51 10.14
9.56 9.9 10.15 9.83 10.15
10.52 10.93 10.95 10.61 10.53
10.72 10.41
